"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"72","","Delanie Walker","TEN","TE4","8","47","94","76.0","20.7","71.0","-1.0"
"73","","Greg Olsen","CAR","TE5","4","64","84","76.7","9.0","56.0","-17.0"
"74","","Alshon Jeffery","PHI","WR35","9","52","107","79.0","22.5","66.0","-8.0"
"75","","Kerryon Johnson","DET","RB27","6","48","100","79.3","22.5","73.0","-2.0"
"76","","Kirk Cousins","MIN","QB9","10","78","81","79.7","1.2","88.0","+12.0"
"77","","Jamaal Williams","GB","RB28","7","65","97","80.3","13.1","78.0","+1.0"
"78","","Sterling Shepard","NYG","WR36","9","70","102","80.7","15.1","103.0","+25.0"
"79","","Kyle Rudolph","MIN","TE6","10","64","112","82.3","21.2","74.0","-5.0"
"80","","Chris Thompson","WAS","RB29","4","74","97","82.7","10.2","100.0","+20.0"
"81","","Kenny Stills","MIA","WR37","11","63","124","84.7","27.9","113.0","+32.0"
"82","","Pierre Garcon","SF","WR38","11","73","93","85.3","8.8","91.0","+9.0"
"83","","Carson Wentz","PHI","QB10","9","75","103","86.0","12.2","72.0","-11.0"
"84","","Carlos Hyde","CLE","RB30","11","78","93","86.0","6.2","62.0","-22.0"
"85","","Sony Michel","NE","RB31","11","50","120","86.7","28.7","77.0","-8.0"
"86","","Evan Engram","NYG","TE7","9","71","99","87.0","11.8","63.0","-23.0"
"87","","Jamison Crowder","WAS","WR39","4","71","118","88.0","21.3","87.0","0.0"
"88","","Devin Funchess","CAR","WR40","4","76","102","88.0","10.7","80.0","-8.0"
"89","","Andrew Luck","IND","QB11","9","72","109","89.3","15.2","94.0","+5.0"
"90","","Trey Burton","CHI","TE8","5","58","126","90.7","27.8","85.0","-5.0"
"91","","Jimmy Graham","GB","TE9","7","59","108","90.7","22.4","54.0","-37.0"
"92","","Marlon Mack","IND","RB32","9","69","119","93.0","20.5","96.0","+4.0"
"93","","Rashaad Penny","SEA","RB33","7","84","98","93.0","6.4","79.0","-14.0"
"94","","Nelson Agholor","PHI","WR41","9","72","123","93.7","21.5","102.0","+8.0"
"95","","Isaiah Crowell","NYJ","RB34","11","79","115","94.0","15.3","93.0","-2.0"
"96","","Keelan Cole","JAC","WR42","9","86","109","94.7","10.2","138.0","+42.0"
"97","","Kelvin Benjamin","BUF","WR43","11","95","96","95.3","0.5","108.0","+11.0"
"98","","Philip Rivers","LAC","QB12","8","83","105","96.0","9.4","106.0","+8.0"
"99","","Peyton Barber","TB","RB35","5","82","106","98.0","11.3","109.0","+10.0"
"100","","Tarik Cohen","CHI","RB36","5","94","114","101.0","9.2","82.0","-18.0"
